Output_Name,Collection_Time,Duration (sec),Package Power Summary: Average Rate and Total_Component_Die_0_Metric Type_Power_Average Rate (mW),Package Power Summary: Average Rate and Total_Component_Die_0_Metric Type_Power_Total (mJ),
SoCWatchOutput,2021-04-18 19:06:44 GMT,5.00564,1651.38,8265.93,
SoCWatchOutput,2021-04-18 19:14:41 GMT,5.00577,1707.25,8545.84,
