Seq Name,Codec Name,Config Name,QP,Bitrate,Y-PSNR,CPU Time,Encoding_FPS/Frame_Rate
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_faster.cfg,32,1337.2800,33.4061,0.670s,0.1
RaceHorses_416x240_30.yuv,hhi-vvc-codec,randomaccess_faster.cfg,37,724.8000,30.3720,0.540s,0.123
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_faster.cfg,22,11626.7520,42.9096,17.850s,0.005
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_faster.cfg,27,5702.0160,41.0519,9.650s,0.009
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_faster.cfg,32,3550.4640,39.2119,6.310s,0.013
Kimono_1920x1080_24.yuv,hhi-vvc-codec,randomaccess_faster.cfg,37,2198.8800,37.0100,4.430s,0.019
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_faster.cfg,22,3648.4000,42.7186,0.830s,0.048
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_faster.cfg,27,2119.4000,39.2290,0.720s,0.056
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_faster.cfg,32,1236.2000,36.2108,0.510s,0.078
BasketballPass_416x240_50.yuv,hhi-vvc-codec,randomaccess_faster.cfg,37,674.0000,33.3647,0.410s,0.098
