Class,CPU Time (%)
xRateDistOptQuant,19.825
xPredIntraAng,9.168
xIntraCodingTUBlock,7.221
codeCoeffNxN,2.215
initIntraPatternChType,2.134
getSigCtxInc,2.107
estIntraPredLumaQT,2.027
getIntraDirPredictor,1.96
estBit,1.812
xCalcHADs4x4,1.799
xRecurIntraCodingLumaQT,1.114
xGetHADs,1.047
codeIntraDirLumaAng,1.034
estSignificantMapBit,1.007
xT,0.993
estLastSignificantPositionBit,0.899
nextSection,0.859
predIntraAng,0.859
xDeQuant,0.832
encodeBin,0.792
getCoefScanIdx,0.711
xGetSSE4,0.658
xGetSSE8,0.658
getAddr,0.644
getBlkStats,0.597
getPUAboveRight,0.59
transformNxN,0.55
copyState,0.517
xPredIntraPlanar,0.51
xGetSSE16,0.497
filteringIntraReferenceSamples,0.483
xGetSSE32,0.47
xRecurIntraChromaCodingQT,0.47
store,0.456
xEncCoeffQT,0.416
rdpcmNxN,0.416
xIT,0.403
xLoadIntraResultQT,0.362
TComTU,0.349
QpParam,0.336
copyPartToPartComponent,0.322
initEstData,0.322
countNonZeroCoeffs,0.322
getDistPart,0.295
xGetIntraBitsQT,0.295
getPUBelowLeft,0.295
getPUAbove,0.268
xTransformSkip,0.268
getTEncBinCABAC,0.268
codeQtCbf,0.255
xQuant,0.242
UseDPCMForFirstPassIntraEstimation,0.228
xEncSubdivCbfQT,0.215
getNumWrittenBits,0.215
estimateBit,0.188
xEncIntraHeader,0.188
resetBits,0.188
loadIntraDirMode,0.174
getPULeft,0.174
GetEquivalentLog2TrSize,0.161
xCompressCU,0.148
xEncodeTransform,0.148
load,0.148
xEdgeFilterLuma,0.148
initSubCU,0.148
codeLastSignificantXY,0.134
clearMvField,0.134
estIntraPredChromaQT,0.134
getPUAboveLeft,0.134
calcPatternSigCtx,0.121
invRdpcmNxN,0.107
offsetBlock,0.107
invTransformNxN,0.107
xCheckRDCostIntra.part.107,0.107
copyToPicYuv,0.107
encodeCoeffNxN,0.107
setTrIdxSubParts,0.094
getNumberOfWrittenBits,0.094
copyPartFrom,0.094
copyToPic,0.081
encodeIntraDirModeLuma,0.081
calcRdCost,0.081
setCbfPartRange,0.081
loopFilterPic,0.067
getQuadtreeTULog2MinSizeInCU,0.067
encodeBinEP,0.067
xWriteCoefRemainExGolomb,0.067
xSetIntraResultChromaQT,0.067
xStoreIntraResultQT,0.067
getGolombRiceStatisticsIndex,0.067
copyToPartYuv,0.054
getCtxQtCbf,0.054
read,0.04
xSetEdgefilterTU,0.04
setTransformSkipPartRange,0.04
codeTransformSubdivFlag,0.04
useDST,0.027
xSetIntraResultLumaQT,0.027
setTransformSkipSubParts,0.027
write,0.027
setIntraDirSubParts,0.027
TComTURecurse,0.027
codePartSize,0.027
encodeIPCMInfo,0.027
getSigCoeffGroupCtxInc,0.027
encodeBinsEP,0.027
