Function	CPU Time	CPU Time:Effective Time	CPU Time:Effective Time:Idle	CPU Time:Effective Time:Poor	CPU Time:Effective Time:Ok	CPU Time:Effective Time:Ideal	CPU Time:Effective Time:Over	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
TDecCu::xIntraRecBlk	0.020000	0.020000	0.0	0.020000	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TDecCu::xIntraRecBlk(TComYuv*, TComYuv*, TComYuv*, ComponentID, TComTU&)	[Unknown]	0x35000
__memmove_avx_unaligned_erms	0.015983	0.015983	0.0	0.015983	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0x18ea10
TComTrQuant::xDeQuant	0.012016	0.012016	0.0	0.012016	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TComTrQuant::xDeQuant(TComTU&, int const*, int*, ComponentID, QpParam const&)	[Unknown]	0x91730
__memset_avx2_unaligned_erms	0.012001	0.012001	0.0	0.012001	0.0	0.0	0.0	0.0	0.0	libc.so.6	__memset_avx2_unaligned_erms	memset-vec-unaligned-erms.S	0x18ee90
TComSampleAdaptiveOffset::offsetBlock	0.011995	0.011995	0.0	0.011995	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TComSampleAdaptiveOffset::offsetBlock(int, int, int*, short*, short*, int, int, int, int, bool, bool, bool, bool, bool, bool, bool, bool)	[Unknown]	0x505a0
std::istream::get	0.011994	0.011994	0.0	0.011994	0.0	0.0	0.0	0.0	0.0	libstdc++.so.6	std::istream::get(void)	[Unknown]	0xfbaa0
TComLoopFilter::xSetEdgefilterTU	0.010000	0.010000	0.0	0.010000	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TComLoopFilter::xSetEdgefilterTU(TComTU&)	[Unknown]	0x5f7f0
TComLoopFilter::xEdgeFilterLuma	0.008010	0.008010	0.0	0.008010	0.0	0.0	0.0	0.0	0.0	TAppDecoderStatic	TComLoopFilter::xEdgeFilterLuma(TComDataCU*, unsigned int, unsigned int, DeblockEdgeDir, int)	[Unknown]	0x606d0
__libc_calloc	0.008001	0.008001	0.0	0.008001	0.0	0.0	0.0	0.0	0.0	libc.so.6	__libc_calloc	malloc.c	0x9a170
